point,mean_ltime,mean_x_proj,mean_y_proj,mean_latitude,mean_longitude,n,date
2019-07-07T19:15:00Z,2019-07-07T19:15:01Z,371641.89756943076,9929342.851476748,-0.6391267105914523,-76.15351471352444,12,2019-07-07
2019-07-07T19:30:00Z,2019-07-07T19:30:01Z,371647.6806440355,9929344.913009688,-0.6391080748332926,-76.15346274572408,12,2019-07-07
2019-07-07T19:45:00Z,2019-07-07T19:45:01Z,371650.34570513666,9929326.365317944,-0.639275852591694,-76.15343883633243,12,2019-07-07
2019-07-07T20:00:00Z,2019-07-07T20:00:01Z,371640.44233609206,9929315.272727892,-0.6393761700084085,-76.15352784514891,12,2019-07-07
2019-07-07T20:15:00Z,2019-07-07T20:15:02Z,371641.37681748107,9929314.82892214,-0.6393801863333346,-76.15351944929068,12,2019-07-07
2019-07-07T20:30:00Z,2019-07-07T20:30:02Z,371625.5199809305,9929361.173696496,-0.6389609444817679,-76.15366183686295,12,2019-07-07
2019-07-07T20:45:00Z,2019-07-07T20:45:01Z,371605.779140289,9929422.841178784,-0.6384030939085995,-76.15383909315753,12,2019-07-07
2019-07-07T21:00:00Z,2019-07-07T21:00:01Z,371615.24282297294,9929422.240984403,-0.6384085421500579,-76.15375405875737,12,2019-07-07
2019-07-07T21:15:00Z,2019-07-07T21:15:01Z,371609.00997119665,9929422.250395957,-0.6384084443666588,-76.15381006382393,12,2019-07-07
2019-07-07T21:30:00Z,2019-07-07T21:30:01Z,371656.79188764206,9929380.254877118,-0.6387884100000489,-76.15338080562402,12,2019-07-07
2019-07-07T21:45:00Z,2019-07-07T21:45:01Z,371692.7932629788,9929364.575676752,-0.6389303086332498,-76.1530573479741,12,2019-07-07
2019-07-07T22:00:00Z,2019-07-07T22:00:01Z,371701.339571109,9929281.29176751,-0.6396836671084499,-76.15298072342397,12,2019-07-07
2019-07-07T22:15:00Z,2019-07-07T22:15:01Z,371700.89226614573,9929272.358835984,-0.6397644686583438,-76.15298476070687,12,2019-07-07
2019-07-07T22:30:00Z,2019-07-07T22:30:01Z,371637.9349975468,9929289.203399861,-0.6396119738832461,-76.15355042740751,12,2019-07-07
2019-07-07T22:45:00Z,2019-07-07T22:45:01Z,371610.39390537044,9929282.75163577,-0.6396702770253785,-76.1537979100908,12,2019-07-07
2019-07-08T10:45:00Z,2019-07-08T10:45:00Z,371599.5612151774,9929294.096711485,-0.6395676336166883,-76.1538952239739,12,2019-07-08
2019-07-08T11:00:00Z,2019-07-08T11:00:00Z,371598.9690819615,9929293.157580102,-0.6395761272834118,-76.15390054646578,12,2019-07-08
2019-07-08T11:15:00Z,2019-07-08T11:15:00Z,371595.05626370374,9929291.379091138,-0.6395922065678523,-76.15393570856551,12,2019-07-08
2019-07-08T11:30:00Z,2019-07-08T11:30:00Z,371603.3369132966,9929286.856620368,-0.6396331312167864,-76.15386131218256,12,2019-07-08
